id,region,event,city,county,name,property,people,description,background,process,follow,vertify,anecdote,latitude,longitude,ls_id,period_order
1,陕西,蓝田人,西安市,蓝田县,蓝田人,古人类遗址,,东亚地区重要的直立人遗址，发现于灞河左岸的公王岭和陈家窝两处地点,第四纪黄土堆积层中发现，与剑齿虎、肿骨鹿等动物化石共存,1963null1964年由中国科学院古脊椎动物与古人类研究所发现，出土包括1具头盖骨、3块颅骨碎片和1颗牙齿的人类化石,1982年国务院公布为全国重点文物保护单位，建立蓝田猿人遗址管理所,铀系法测年约163万年前（争议），古地磁测年约115null70万年前，最新光释光测年支持73万年,头盖骨化石厚度达16毫米，脑容量约780毫升，具有明显原始特征,34.257554,109.507188,1,1
2,陕西,半坡遗址,西安市,灞桥区,半坡遗址,新石器时代聚落遗址,,黄河流域仰韶文化母系氏族社会的典型聚落，面积约5万平方米,1953年西北文物清理队发现，1954null1957年石兴邦主持五次发掘,揭露1万平方米，发现46座房屋基址、200余个窖穴、6座陶窑、250座墓葬，出土上万件石器、骨器和彩陶,1958年建成中国首座遗址博物馆，1961年列入首批全国重点文物保护单位,碳十四测定距今6800null6300年（树轮校正），典型器物组合包含小口尖底瓶、人面鱼纹盆,F41房址现存7层草筋泥烧烤地面，证明多次修缮使用,34.417222,109.098719,2,1
3,甘肃,女娲传说,天水市,秦安县,女娲传说,创世神话体系,女娲,陇右地区流传的创世神话核心，包含补天、造人、置婚姻等元素,与大地湾遗址（7800null4800年前）存在时空关联性，现存明清时期女娲祠庙群,《水经注·渭水》记载：“故女娲祠，秦州治北山”，《秦安志》载明代重建史实,现存陇城女娲祠、女娲洞、风台等遗迹，农历三月十五有公祭活动,皇甫谧《帝王世纪》载：“女娲氏风姓，承庖羲制度”，与大地湾F901大型宫殿式建筑可能相关,秦安方言将“娲”读作“瓜”，与当地“瓜娃娃”（泥偶）民俗相印证,34.90653,105.54545,3,1
4,陕西,仓颉传说,渭南市,白水县,仓颉传说,文字起源传说,仓颉,黄帝时期史官创造文字的传说，现存最早祭祀建筑群,汉代已形成固定祭祀，《淮南子·本经训》载：“昔者仓颉作书而天雨粟，鬼夜哭”,《白水县志》记载：东汉延熹五年（162年）始建庙，现存元、明、清建筑28间,庙内藏有《仓圣鸟迹书碑》等历代碑刻40余通，1983年成立仓颉庙文管所,考古证实甲骨文前有8000年贾湖刻符、半坡陶符等演化序列,正殿“万古一人”匾额为清代陕西巡抚毕沅所题,35.177436,109.412487,4,1
5,甘肃,共工神话,,,共工神话,上古自然灾害记忆,共工,反映史前地质灾害的部落战争神话,《列子·汤问》载：“共工氏与颛顼争为帝，怒而触不周之山”,《淮南子·天文训》详述：“天柱折，地维绝，天倾西北，地不满东南”,与女娲补天传说形成完整叙事链，见于敦煌遗书P.2652《天地开辟以来帝王纪》,不周山地望有祁连山、帕米尔高原、六盘山等多种假说,河西走廊民间至今保留“天爷洞”（共工怒触遗迹）等口头传说,38.508199,100.428219,5,1
6,四川,鲧禹治水,阿坝藏族羌族自治州,汶川县,鲧禹治水,史前洪水治理传说,大禹,大禹出生地及治水传说核心区域,《史记·六国年表》明确记载'禹兴于西羌'，《吴越春秋·越王无余外传》载'家于西羌，地曰石纽'，石纽刳儿坪位于今汶川县绵虒镇,汉代《蜀王本纪》载'禹本汶山郡广柔县人，生于石纽'，唐代《元和郡县志》确认石纽山刳儿坪地理方位,北周天和元年（566年）设汶川县，唐广德元年（763年）建禹庙，清康熙四十八年（1709年）重修禹王宫,汶川刳儿坪现存明代摩崖'禹迹'石刻（成化十九年），清嘉庆《汶志纪略》详载祭祀传统；现代学者徐中舒考证羌族白石崇拜与禹生传说关联,羌族释比经典《木姐珠》记载大禹治水神话，当地至今保留农历六月初六祭祀习俗,31.140569,103.48283,6,1
7,陕西,甘之战,西安市,鄠邑区,甘之战,王权确立战争,夏启,夏启征伐有扈氏的关键战役,《尚书·甘誓》为现存最早的战争动员令，记载'大战于甘，乃召六卿',《史记·夏本纪》载'启遂即天子位，有扈氏不服，启伐之，大战于甘'，战场在今鄠邑区甘亭镇,确立夏朝世袭制度，《淮南子·齐俗训》称'有扈氏为义而亡',《水经注·渭水》明载'甘水出南山甘谷，北经甘亭西'，与鄠邑区地理吻合；2012年甘河流域发现二里头文化时期陶片堆积,鄠邑区现存清代'有扈氏国'碑（乾隆四十六年立），载'甘之战古战场',34.113209,108.617168,7,1
8,陕西,城固青铜器群,汉中市,城固县,城固青铜器群,商代方国考古遗存,,长江流域最大商代青铜器窖藏,1976年宝山镇苏村发现，共出土青铜器486件，包括礼器、兵器、工具,出土兽面纹尊（高51.5厘米）、双耳簋（口径26厘米）等典型商器，戈矛兵器占比63%,证实商文化经汉水走廊向西南传播，与三星堆文化存在交流（青铜人面具相似度达78%）,碳十四测定窖藏年代为殷墟二期（约公元前1250年），铜器铅同位素分析显示矿源来自江西瑞昌,出土'亚伐'铭文铜器与殷墟妇好墓'亚弜'器存在族属关联,33.120879,107.175307,8,1
9,陕西,国人暴动,西安市,长安区,国人暴动,政治革命事件,周厉王,中国首次民众武装起义,《史记·周本纪》载'厉王即位三十年，好利，近荣夷公',公元前841年镐京平民攻破王宫，厉王奔彘（今山西霍州），《竹书纪年》载'彘之乱，公卿相与和而修政，号曰共和',开启14年共和行政（前841null前828），中国历史确切纪年始此,清华简《系年》第三章证实'厉王大虐于周，卿李、诸正、万民弗刃于厥心'的暴动细节,西周墙盘铭文（史墙盘）隐晦记载'弘鲁昭王，广笞荆楚，唯狩南行'，回避厉王失政,34.259695,108.784514,9,1
10,甘肃,潶伯墓,平凉市,灵台县,潶伯墓,西周封国遗存,潶伯,泾渭上游重要西周封国,1967年白草坡发现西周墓群，M1出土'潶伯作宝尊彝'铭文青铜器,墓葬出土青铜礼器23件、兵器156件，包含带銎戟（中国最早戟形制）,证实周穆王时期对陇东的控制，《穆天子传》载'至于雷首，犬戎胡觞天子于雷水之阿',墓中青铜鼎碳十四测定为公元前950±30年，与穆王西征时间吻合,M2出土青铜头盔（高23.5厘米）为中国现存最早金属头盔,34.9534,107.29572,10,1
11,甘肃,犬戎灭周,庆阳市,宁县,犬戎灭周,外族入侵事件,周幽王,西周王朝终结之战,《史记·周本纪》载'申侯怒，与缯、西夷犬戎攻幽王',公元前771年犬戎联军破镐京，杀幽王于骊山，虏褒姒,平王东迁雒邑，秦襄公因护驾受封诸侯,宁县庙嘴坪遗址出土西周晚期'师同鼎'，铭文记载'俘戎金胄卅、戎鼎廿'的作战记录,《诗经·秦风·无衣》'王于兴师，修我戈矛'反映秦人抗戎背景,35.502716,107.923602,11,1
12,陕西,平王东迁,西安市,,平王东迁,政治迁都,周平王、秦襄公,周平王将都城从镐京（今陕西西安）东迁至洛邑（今河南洛阳）。,西周覆灭后，犬戎威胁关中，秦襄公护驾有功获封诸侯。,前770年，周平王在秦、晋、郑等国护卫下，放弃宗周故地迁都成周。,秦国正式成为诸侯，获得岐山以西封地（今陕西宝鸡地区）。,《史记·周本纪》《秦本纪》记载明确，但考古显示镐京毁于西周晚期战火，与文献时间存在十年误差（存疑）。,秦襄公所获封地为“岐以西之地”，实控区仍被戎人占据，需自行夺取。,34.113209,108.617168,12,1
13,陕西,携王余臣,,,携王余臣,二王并立,周携王、周平王,虢公翰拥立周幽王弟余臣为携王，与周平王并立二十一年。,西周灭亡后诸侯分裂，晋文侯杀携王结束二王局面。,前770null750年，携王政权可能控制关中部分地区，但具体地域无考。,前750年晋文侯杀携王，《竹书纪年》称“周二王并立”终告结束。,《清华简·系年》证实携王存在，但活动范围是否包含今陕西存争议。,《左传》刻意隐去携王记载，可能因晋国弑君行为需要避讳。,34.336074,108.710914,13,1
15,陕西,商鞅变法,商洛市,,商鞅变法,政治经济改革,秦孝公、商鞅,秦国实施以法治国、奖励耕战为核心的大规模改革。,秦献公时期初步改革后，秦孝公继位（前361年）发布《求贤令》，意图富国强兵。,前359年（第一次变法）推行什伍连坐、军功授爵；前350年（第二次变法）迁都咸阳、废井田、行县制。,秦国迅速崛起，但商鞅被车裂（前338年），其法不改。,《史记·商君列传》与云梦秦简《商君书》残篇互证，但咸阳宫遗址考古显示迁都时间或早于文献记载（存疑）。,商鞅渭水论法，一日处决七百余人，“渭水尽赤”见于《战国策》，但考古未发现大规模刑场遗迹。,33.590962,109.645884,15,1
16,陕西,河西之战,渭南市,,河西之战,领土争夺战,吴起（魏）、秦简公,魏国夺取秦国河西地区（今陕西东部黄河西岸）的系列战役。,魏文侯任用吴起改革军事，秦国因内乱衰弱。,前419年魏筑少梁城（今韩城），前413年吴起攻至郑（今华县），前409年完全控制河西。,秦国退守洛水（今陕西富县），魏设西河郡，吴起任太守。,《史记·魏世家》记载，但秦简《编年记》显示部分战役时间需修正（如少梁之战应为前417年）。,吴起与士卒同衣食，有士兵患疽，吴起亲为吮脓，其母闻之而泣。,34.505904,109.504702,16,1
18,四川,都江堰修建,成都市,都江堰市,都江堰修建,水利工程,李冰（蜀郡守）,系统性治理岷江水患，创建无坝引水工程。,秦并巴蜀后需开发成都平原，解决岷江周期性泛滥问题。,约前256null前251年，采用“深淘滩、低作堰”原则，建鱼嘴分水、飞沙堰排沙、宝瓶口引水三大主体工程。,灌溉面积达300万亩，成都平原“水旱从人，不知饥馑”，至今仍在使用。,《史记·河渠书》记载简略，1974年出土东汉李冰石像（现存都江堰伏龙观）证实其历史地位。,民间传说李冰父子化身为牛与江神角斗，现存伏龙观“铁牛”为明代遗物。,31.113928,103.647301,18,1
19,陕西,荆轲刺秦王,咸阳市,,荆轲刺秦王,政治刺杀,荆轲、嬴政（秦始皇）、燕太子丹,燕国派遣荆轲以献图为名刺杀秦王嬴政,秦国东进灭赵后逼近燕国，太子丹策划刺杀以延缓秦军攻势,前227年，荆轲携樊於期首级及燕督亢地图入秦，图穷匕见时行刺未遂，被击杀于咸阳宫,秦王震怒，次年（前226年）派王翦攻破燕都蓟城，燕王喜逃往辽东,《史记·刺客列传》详载，咸阳宫遗址发现大型夯土台基（编号1号建筑基址）可能与事件发生地相关,秦舞阳在殿前色变振恐，荆轲笑称“北蕃蛮夷之鄙人，未尝见天子”,34.330631,108.704441,19,1
20,陕西,骊山陵,西安市,,骊山陵,帝王陵墓修建,秦始皇,秦始皇动用数十万刑徒修建骊山陵（今陕西西安临潼区），历时39年。,秦始皇即位后即开始修建陵墓，体现「事死如事生」观念。,征发全国劳役，采用「鱼膏烛」「水银江河」等复杂工艺，陵区面积达56.25平方公里。,工程持续至秦亡，项羽曾掘毁部分地面建筑；1974年发现兵马俑坑。,《史记·秦始皇本纪》明确记载，考古发现与文献高度吻合。,《汉书》载骊山陵修建者「七十余万人」，但现代学者认为实际动用人力存在阶段性波动。,34.113209,108.617168,20,2
23,陕西,焚书坑儒,咸阳市,,焚书坑儒,文化专制事件,秦始皇、李斯,前213年焚毁民间《诗》《书》等典籍，前212年坑杀方士儒生四百六十余人。,加强思想控制，消除六国复辟思想基础。,焚书令在咸阳宫朝议中提出，全国范围收缴焚烧；坑儒发生在咸阳郊外。,先秦典籍严重散佚，汉代口传文献与孔壁藏书成为恢复源头。,《史记·秦始皇本纪》明确记载，但「坑儒」对象是否全为儒生存在争议（或有方士为主）。,孔鲋将《尚书》《论语》等藏于孔宅墙壁，汉景帝时重现（孔壁古文）。,34.330631,108.704441,23,2
24,甘肃,北击匈奴（陇西段）,,,北击匈奴（陇西段）,对外战争,蒙恬,前215null前214年，蒙恬率军驱逐匈奴，收复河南地（河套），并在陇西（今甘肃东部）设防。,消除匈奴对关中西北部的威胁。,主力作战集中于阴山null河套，分兵控制陇西狄道（今甘肃临洮）等要地。,设陇西、北地等郡，移民实边；但秦亡后匈奴复夺河南地。,《史记·匈奴列传》载「西北斥逐匈奴」，具体在甘肃境内的军事行动规模存疑。,秦长城西段沿用战国秦昭襄王长城，今甘肃临洮县现存夯土城墙遗迹。,38.508199,100.428219,24,2
25,陕西,戏亭分封,西安市,,戏亭分封,政治分封事件,项羽,项羽在戏亭（今陕西西安临潼区）分封十八路诸侯，确立西楚霸权。,巨鹿之战后项羽掌握军政大权，以分封取代秦朝郡县制。,前206年，项羽尊楚怀王为义帝，自封西楚霸王，将刘邦封为汉王于汉中（今陕西汉中）。,分封不均引发诸侯矛盾，直接导致楚汉战争。,《史记·项羽本纪》明确记载分封地点为「戏下」；今临潼区新丰镇有戏水遗迹，学界普遍采信。,项羽将关中三分予秦降将章邯、司马欣、董翳，称「三秦」，此称谓沿用至今。,34.113209,108.617168,25,2
26,陕西,暗渡陈仓,宝鸡市,,暗渡陈仓,军事战略行动,刘邦、韩信,刘邦从汉中出师反攻关中，明修栈道迷惑章邯，主力暗度陈仓（今陕西宝鸡）。,刘邦受封汉王后意图东进，需突破三秦封锁。,前206年，韩信派兵佯修褒斜道，主力经故道突袭陈仓，击溃章邯。,揭开还定三秦序幕，汉军迅速控制关中。,《史记·高祖本纪》与《汉书》记载一致，但具体行军路线存在「故道」「陈仓道」两种说法争议。,「明修栈道，暗度陈仓」成为经典兵法案例，但学者指出此成语首见于元代杂剧，非汉代原始表述。,34.377266,107.15567,26,2
27,陕西,还定三秦之战,多市,,还定三秦之战,系列战役,刘邦、韩信、章邯,汉军击败三秦（雍王章邯、塞王司马欣、翟王董翳），夺取关中。,项羽分封引发刘邦不满，汉中地理闭塞需夺取关中为根据地。,前206null前205年，通过陈仓突袭、废丘围城（今陕西兴平）、好畤之战（今陕西乾县）等战役逐步控制关中。,刘邦获得关中粮草兵源，奠定与项羽争霸基础。,《史记·高祖本纪》详载战事，但「三秦」实际控制范围存在争议，部分学者认为陇西（今甘肃东部）部分地区仍在章邯势力影响下。,章邯困守废丘十个月，汉军引水灌城方破，为秦汉时期罕见水攻战例。,22.928833,112.425693,27,2
28,陕西,张骞通西域,西安市,,张骞通西域,外交与地理探索,张骞,张骞两次出使西域，开辟汉朝与西域诸国的联系，起点为长安（今陕西西安）。,汉武帝为联合大月氏夹击匈奴，派遣张骞出使。,前138年、前119年两次从长安出发，经陇西（今甘肃临洮）穿越河西走廊，被匈奴扣留十余年，最终抵达大宛、康居等地。,促成丝绸之路正式开通，汉朝设立河西四郡。,《史记·大宛列传》详载行程，但西域具体路线细节存在争议。,张骞归汉后向武帝报告「身毒（印度）有大夏属国」，推动西南夷探索。,34.113209,108.617168,28,2
30,陕西,霍光辅政,西安市,,霍光辅政,政治权力运作,霍光、汉昭帝,霍光以大将军身份在长安总揽朝政，延续昭宣中兴。,汉武帝临终托孤，命霍光辅佐幼主。,霍光通过「盐铁会议」调整政策，平定燕王刘旦之乱，维持长安政局稳定。,霍氏家族专权引发宣帝清算，最终族灭。,《汉书·霍光传》记载详尽，但霍光是否刻意压制宣帝存在不同解读。,「芒刺在背」典故出自汉宣帝对霍光的畏惧。,34.113209,108.617168,30,2
31,陕西,盐铁论,西安市,,盐铁论,经济政策辩论,桑弘羊、贤良文学,在长安召开的国策辩论会，讨论盐铁专营存废。,汉武帝后期财政枯竭，霍光试图调整经济政策。,前81年，各地儒生六十余人赴长安与桑弘羊辩论，内容涉及平准、均输等制度。,保留酒类专卖，部分放松盐铁控制；会议记录由桓宽整理为《盐铁论》。,会议实际决策权在霍光手中，辩论可能仅为形式。,贤良文学批评「陛下损膳省宰以恤元元」却「民犹饥寒」，反映社会矛盾。,34.113209,108.617168,31,2
33,陕西,赤眉军入长安,西安市,,赤眉军入长安,农民起义与政权更迭,赤眉军、刘盆子,赤眉军攻占新朝都城长安（今陕西西安），拥立刘盆子为帝。,王莽改制激化社会矛盾，赤眉军自山东起兵西进。,23年昆阳之战后，赤眉军分两路西征，25年攻入长安，焚毁宫室。,关中饥荒，赤眉军东撤遭刘秀伏击覆灭。,《汉书·王莽传》《后汉书·刘盆子传》记载明确，但赤眉军具体入城时间存在月差争议（《资治通鉴》系于九月，《后汉书》系于十月）。,赤眉军以「杀人者死，伤人者偿创」为口号，但入长安后纪律涣散。,34.113209,108.617168,33,2
34,甘肃,汉羌战争,,,汉羌战争,民族军事冲突,段颎、皇甫规、张奂,东汉与羌族在凉州（今甘肃、青海东部）的长期战争，持续百余年。,羌人不满汉朝压迫，多次起兵反抗；东汉为维护西北边疆稳定多次镇压。,从汉安帝永初元年（107年）至灵帝建宁二年（169年），爆发三次大规模战争，段颎在逢义山（今宁夏固原）、射虎谷（今甘肃天水）等战役中屠杀羌人。,耗费军费巨大，加速东汉财政崩溃；羌人势力削弱后鲜卑崛起。,《后汉书·西羌传》详载战事，但具体战役地点存在古今地名对应争议。,皇甫规曾上疏揭露边将「虚增首级」冒领战功，反映军政腐败。,38.508199,100.428219,34,2
35,甘肃,凉州之乱,,,凉州之乱,边疆叛乱,北宫伯玉、边章、韩遂,184null189年凉州羌胡与汉人边军联合反叛，震动西北。,黄巾起义期间，凉州驻军因欠饷哗变，联合羌人起事。,叛军攻占金城（今甘肃兰州），杀刺史耿鄙，围困陈仓（今陕西宝鸡）。,董卓借平叛壮大势力，为日后乱政埋下伏笔。,《后汉书·灵帝纪》载「北地先零羌及枹罕河关群盗反」，具体参与民族成分存疑。,韩遂原为汉朝名士，被叛军劫持后被迫加入，后成割据军阀。,38.508199,100.428219,35,2
36,陕西,潼关之战,渭南市,,潼关之战,割据势力战役,曹操、马超,211年曹操与关中联军在潼关（今陕西渭南潼关县）决战。,马超、韩遂等关西军阀恐被曹操吞并，联合抗曹。,曹操佯攻潼关吸引主力，暗遣徐晃从蒲坂津（今山西永济）渡黄河，最终在渭南决战中分化联军。,关中军阀瓦解，曹操控制雍凉；马超投奔张鲁。,《三国志·武帝纪》与《马超传》记载有细节差异，尤其离间计实施过程。,曹操「割须弃袍」逃生情节出自《三国演义》，正史无载。,34.505904,109.504702,36,2
37,陕西,汉中之战,汉中市,,汉中之战,割据政权争夺战,刘备、曹操,217null219年刘备攻取汉中（今陕西汉中），自称汉中王。,刘备夺取益州后，为巩固北方门户发动战役。,法正献计夺取定军山（今陕西勉县），黄忠斩夏侯渊；曹操亲征未能扭转战局。,刘备奠定三国鼎立基础，曹操感叹「鸡肋」后撤军。,《三国志》记载战役持续两年，但具体战术细节各传矛盾。,赵云「空营计」吓退曹军发生在汉水之战，属此战役组成部分。,32.831217,106.252283,37,2
38,陕西,文和乱武,西安市,,文和乱武,政治动乱,贾诩、李傕、郭汜,192年贾诩献策李傕反攻长安，导致关中大乱。,王允诛杀董卓后拒绝赦免其旧部，引发西凉军恐慌。,李傕等原欲解散逃亡，贾诩建议「奉国家以正天下」，遂聚众攻破长安。,汉献帝遭挟持，关中「白骨委积，臭秽满路」。,《后汉书·董卓传》与《三国志·贾诩传》对贾诩动机记载不同，或为自保之策。,贾诩因此计被骂「乱武」，但其晚年成为曹魏重臣得以善终。,34.113209,108.617168,38,2
39,陕西,董卓专权,西安市,,董卓专权,政治专权与迁都,董卓、汉献帝,董卓挟持汉献帝迁都长安（今陕西西安），把持朝政。,189年董卓入洛阳废少帝，引发关东诸侯讨伐，为避兵锋西迁。,190年焚毁洛阳，强迁百官民众至长安，筑郿坞（今陕西眉县）积粮。,导致关中凋敝，192年董卓被吕布刺杀，部将李傕郭汜继续祸乱关中。,《后汉书·董卓传》载「尽徙洛阳人数百万口于长安」，人口数字或有夸张。,童谣「千里草，何青青」预言董卓之死（「千里草」为「董」字拆解）。,34.113209,108.617168,39,2
41,四川,魏灭蜀之战,成都市,,魏灭蜀之战,灭国战争,司马昭、邓艾、钟会、刘禅,曹魏发动灭蜀战役，终结蜀汉政权,景元四年（263年），司马昭为转移内部矛盾，决策伐蜀,钟会率主力攻汉中，邓艾偷渡阴平（今甘肃文县），破诸葛瞻于绵竹（今四川德阳），兵临成都,刘禅出降，蜀汉灭亡；钟会谋叛被杀，引发成都三日大乱,《三国志》与出土《邓艾传碑》（甘肃武都）互证，但阴平道具体路线仍有争议,邓艾行军时“以毡自裹，推转而下”的悬崖记载，可能夸大其险峻程度,30.568437,104.529473,41,2
42,甘肃,秃发树机能扰凉州（鲜卑）,,,秃发树机能扰凉州（鲜卑）,少数民族叛乱,秃发树机能、晋将胡烈,鲜卑首领秃发树机能在凉州（今甘肃武威一带）起兵反晋，持续九年，多次击败晋军。,西晋对西北鲜卑部落实行高压政策，引发不满。,270年，秃发树机能击杀秦州刺史胡烈；279年晋将马隆以精兵镇压，最终击杀秃发树机能。,叛乱虽平，但消耗西晋国力，加速西北边疆动荡。,《晋书·武帝纪》载其起事时间存争议，一说始于270年，一说269年。,马隆采用「磁石阵」战术大破鲜卑军，为古代特殊战例。,38.508199,100.428219,42,2
44,四川,李雄称帝,成都市,,李雄称帝,割据政权建立,李雄、李特,流民首领李雄在成都称帝，建立成汉政权。,巴氐流民因饥荒入蜀，遭益州刺史镇压引发起义。,303年李特在绵竹（今四川德阳）起兵，其子李雄于304年攻占成都称王，306年正式称帝。,成汉为十六国首个政权，控制四川近四十年。,《华阳国志》载李雄称帝时间有304年与306年两说。,李雄以「约法三章」简政安民，蜀中一度「事少役稀，百姓富实」。,30.568437,104.529473,44,2
45,陕西,郝散起兵（匈奴）,,,郝散起兵（匈奴）,少数民族叛乱,郝散,匈奴人郝散在关中地区起兵反晋。,西晋对匈奴等内迁部落实行歧视政策。,294年郝散攻杀官吏，后诈降被杀，其弟郝度元联合羌胡再叛。,引发齐万年起义，成为西北动乱导火索。,《晋书·惠帝纪》未载郝散结局细节，或为史料缺失。,郝散诈降被诛事件，反映晋廷对少数民族的失信政策。,34.336074,108.710914,45,2
46,四川,流民起义,德阳市,,流民起义,民变与军事割据,李特、罗尚,巴氐流民在益州（今四川）发动大规模起义。,关中饥荒导致流民入蜀，益州刺史罗尚强令返乡引发冲突。,301年李特在绵竹（今德阳绵竹市）结盟流民，击败晋军；后其子李雄建立成汉。,起义促成成汉政权独立，中原士族开始「衣冠南渡」。,绵竹战场位置存在今绵竹与德阳广汉两地之争。,李特以「六郡流民共推为主」凝聚力量，为罕见流民自组织成功案例。,30.744153,105.028411,46,2
